(29 bb 01 02) 372 4  (d5 e1 10 20) 316 4  688 8
(56 c4 01 02) 380 4  (29 1d 10 20) 308 4  688 8
(24 c6 01 02) 360 4  (90 9e 04 08) 328 4  688 8
(60 cd 01 02) 356 4  (86 a7 08 10) 332 4  688 8
(5e f3 01 02) 380 4  (b5 94 08 10) 308 4  688 8
(48 da 01 02) 396 4  (0a 3e 10 20) 292 4  688 8
(32 a0 01 02) 372 4  (a6 92 10 20) 316 4  688 8
(1b b6 01 02) 364 4  (d8 f9 08 10) 324 4  688 8
(3f ad 01 02) 396 4  (76 42 10 20) 292 4  688 8
(40 d2 01 02) 356 4  (8a be 10 20) 332 4  688 8
(06 52 01 02) 360 4  (c0 d2 20 40) 332 4  692 8
(28 b4 01 02) 356 4  (50 ab 02 04) 336 4  692 8
(94 bd 01 02) 376 4  (3f 10 0c 18) 316 4  692 8
(14 f7 01 02) 356 4  (10 12 6b d6) 336 4  692 8
(90 c4 01 02) 368 4  (28 3a 20 40) 324 4  692 8
(bb ef 01 02) 392 4  (01 13 20 40) 300 4  692 8
(20 74 01 02) 328 4  (8a 98 20 40) 364 4  692 8
(2b b7 01 02) 364 4  (56 ad 02 04) 328 4  692 8
(7b d6 01 02) 364 4  (5e 7f 08 10) 332 4  696 8
(22 c0 01 02) 352 4  (88 86 04 08) 344 4  696 8
(4b e6 01 02) 372 4  (1d 3c 08 10) 324 4  696 8
(66 cb 01 02) 404 4  (b6 97 08 10) 292 4  696 8
(2d 80 01 02) 356 4  (ab 8a 08 10) 340 4  696 8
(5a f7 01 02) 388 4  (95 b4 08 10) 308 4  696 8
(46 eb 01 02) 364 4  (75 54 08 10) 332 4  696 8
(50 52 01 02) 348 4  (50 52 01 02) 348 4  696 8
(1c b1 01 02) 396 4  (e0 c1 08 10) 300 4  696 8
(0c 0e 01 02) 348 4  (0c 0e 01 02) 348 4  696 8
(30 d2 01 02) 368 4  (c0 ce 04 08) 328 4  696 8
(4b e1 01 02) 380 4  (e8 20 40 80) 316 4  696 8
(3b 91 01 02) 404 4  (d8 10 40 80) 292 4  696 8
(24 26 01 02) 348 4  (24 26 01 02) 348 4  696 8
(56 fb 01 02) 348 4  (f5 d4 08 10) 348 4  696 8
(0e 5a 01 02) 384 4  (03 11 20 40) 316 4  700 8
(06 7b 01 02) 340 4  (08 a4 bd b9) 360 4  700 8
(40 be 01 02) 336 4  (20 5f e1 01) 364 4  700 8
(10 ae 01 02) 304 4  (05 19 24 48) 396 4  700 8
(0c 71 01 02) 364 4  (10 bc bd b9) 336 4  700 8
(24 b8 01 02) 356 4  (48 b3 02 04) 344 4  700 8
(97 be 01 02) 392 4  (2b 04 0c 18) 308 4  700 8
(2b b9 01 02) 364 4  (f5 c1 10 20) 340 4  704 8
(11 f3 01 02) 368 4  (44 4a 04 08) 336 4  704 8
(5b c9 01 02) 388 4  (f9 cd 10 20) 316 4  704 8
(28 ba 01 02) 380 4  (c5 f1 10 20) 324 4  704 8
(25 88 01 02) 388 4  (eb ca 08 10) 316 4  704 8
(18 fa 01 02) 376 4  (60 6e 04 08) 328 4  704 8
(0d 9f 01 02) 396 4  (d0 e4 10 20) 308 4  704 8
(18 8a 01 02) 372 4  (43 77 10 20) 332 4  704 8
(34 a6 01 02) 388 4  (c6 f2 10 20) 316 4  704 8
(37 6b 01 02) 388 4  (2a 10 14 28) 316 4  704 8
(34 99 01 02) 404 4  (63 42 08 10) 300 4  704 8
(64 f6 01 02) 380 4  (8f bb 10 20) 324 4  704 8
(2e cc 01 02) 384 4  (b8 b6 04 08) 320 4  704 8
(52 c0 01 02) 356 4  (69 5d 10 20) 348 4  704 8
(79 eb 01 02) 396 4  (9c a8 10 20) 308 4  704 8
(3a 97 01 02) 404 4  (13 32 08 10) 300 4  704 8
(50 fd 01 02) 380 4  (c5 e4 08 10) 324 4  704 8
(10 3d 01 02) 324 4  (e3 2c 12 24) 380 4  704 8
(3a 90 01 02) 372 4  (98 50 40 80) 332 4  704 8
(39 94 01 02) 412 4  (0b 2a 08 10) 292 4  704 8
(bd e1 01 02) 364 4  (30 0a 14 28) 340 4  704 8
(57 c5 01 02) 404 4  (39 0d 10 20) 300 4  704 8
(6b b3 01 02) 384 4  (20 13 28 50) 320 4  704 8
(48 e2 01 02) 372 4  (28 e0 40 80) 332 4  704 8
(16 84 01 02) 380 4  (a3 97 10 20) 324 4  704 8
(1f 8d 01 02) 412 4  (33 07 10 20) 292 4  704 8
(03 2a 01 02) 376 4  (14 3b 0c 18) 332 4  708 8
(08 cc 01 02) 312 4  (f3 14 26 4c) 396 4  708 8
(2f 7b 01 02) 384 4  (a9 bb 20 40) 324 4  708 8
(13 2e 01 02) 380 4  (10 fb 23 46) 328 4  708 8
(14 88 01 02) 348 4  (28 d3 02 04) 360 4  708 8
(60 a9 01 02) 356 4  (b7 10 80 c3) 352 4  708 8
(7b e7 01 02) 372 4  (f6 0d 02 04) 336 4  708 8
(21 bd 01 02) 356 4  (42 b9 02 04) 352 4  708 8
(60 fc 01 02) 388 4  (c0 3b 02 04) 320 4  708 8
(3a bd 01 02) 380 4  (35 20 18 30) 328 4  708 8
(4c e6 01 02) 364 4  (eb 23 40 80) 348 4  712 8
(24 e6 01 02) 348 4  (bd 20 94 eb) 364 4  712 8
(30 32 01 02) 356 4  (30 32 01 02) 356 4  712 8
(1d b0 01 02) 380 4  (e8 c9 08 10) 332 4  712 8
(58 f5 01 02) 396 4  (85 a4 08 10) 316 4  712 8
(18 50 01 02) 304 4  (be 02 9c fb) 408 4  712 8
(a0 d6 01 02) 364 4  (ca 10 0a 14) 348 4  712 8
(26 c4 01 02) 384 4  (98 96 04 08) 328 4  712 8
(0a a0 01 02) 340 4  (c5 0d 40 80) 372 4  712 8
(80 ad 01 02) 332 4  (14 db 12 24) 380 4  712 8
(13 f1 01 02) 392 4  (4c 42 04 08) 320 4  712 8
(0e a3 01 02) 404 4  (70 51 08 10) 308 4  712 8
(28 ca 01 02) 392 4  (a0 ae 04 08) 320 4  712 8
(33 9e 01 02) 404 4  (5b 7a 08 10) 308 4  712 8
(0a 96 01 02) 364 4  (14 ef 02 04) 352 4  716 8
(20 9a 01 02) 332 4  (e3 c0 09 12) 384 4  716 8
(20 de 01 02) 344 4  (10 6f e1 01) 372 4  716 8
(48 d4 01 02) 388 4  (90 6b 02 04) 328 4  716 8
(5f d8 01 02) 404 4  (04 11 18 30) 312 4  716 8
(0c 40 01 02) 300 4  (20 82 b9 b1) 416 4  716 8
(39 be 01 02) 404 4  (1d 08 18 30) 312 4  716 8
(18 e6 01 02) 328 4  (0c 73 e1 01) 388 4  716 8
(70 ec 01 02) 380 4  (e0 1b 02 04) 336 4  716 8
(98 cc 01 02) 376 4  (eb f9 20 40) 340 4  716 8
(23 bf 01 02) 380 4  (46 bd 02 04) 336 4  716 8
(12 b8 01 02) 356 4  (0a c2 40 80) 364 4  720 8
(1b 89 01 02) 404 4  (73 47 10 20) 316 4  720 8
(0f 9d 01 02) 404 4  (f0 c4 10 20) 316 4  720 8
(e0 f6 01 02) 360 4  (28 0e 30 60) 360 4  720 8
(4a d8 01 02) 404 4  (2a 1e 10 20) 316 4  720 8
(30 a2 01 02) 380 4  (86 b2 10 20) 340 4  720 8
(22 b0 01 02) 364 4  (65 51 10 20) 356 4  720 8
(0e ec 01 02) 392 4  (38 36 04 08) 328 4  720 8
(38 92 01 02) 396 4  (18 d0 40 80) 324 4  720 8
(2d bf 01 02) 396 4  (95 a1 10 20) 324 4  720 8
(22 40 01 02) 328 4  (0c eb 4c 98) 392 4  720 8
(62 80 01 02) 368 4  (4b 45 04 08) 352 4  720 8
(23 fb 01 02) 352 4  (31 02 28 50) 368 4  720 8
(4a e0 01 02) 380 4  (a8 60 40 80) 340 4  720 8
(0a 1c 01 02) 360 4  (23 05 30 60) 360 4  720 8
(13 81 01 02) 412 4  (f3 c7 10 20) 308 4  720 8
(ab bd 01 02) 376 4  (66 40 30 60) 344 4  720 8
(5c f1 01 02) 404 4  (a5 84 08 10) 316 4  720 8
(6c fe 01 02) 420 4  (0f 3b 10 20) 300 4  720 8
(0a a1 01 02) 376 4  (e6 08 70 e0) 348 4  724 8
(08 8f 01 02) 356 4  (c0 d5 18 30) 368 4  724 8
(0f 5b 01 02) 384 4  (23 31 20 40) 340 4  724 8
